flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', '8ce3ff02-7a1e-48e3-881e-3248b944f28a')",Iron,"('natural resource', 'in ground')",kilogram,Iron,Fe,55.84,9.645225823667623e-15,{'Fe': 1.0},0.73,valero_fallback
"('ecoinvent-3.12-biosphere', '7d2c1cdd-a64a-5936-a577-5b82db0c0d1b')",Lithium,"('natural resource', 'in ground')",kilogram,Lithium,Li,7.0,1.5184934529957733e-13,{'Li': 1.0},0.03,valero_fallback
"('ecoinvent-3.12-biosphere', '8de8befc-efa2-5d07-a58b-b29ea97a3f41')",Niobium,"('natural resource', 'in ground')",kilogram,Niobium,Nb,92.90637,1.6298072211886446e-11,{'Nb': 1.0},0.011,valero_fallback
"('ecoinvent-3.12-biosphere', 'e5a3dff5-72dc-5287-893c-597dd4a19566')",Molybdenum,"('natural resource', 'in ground')",kilogram,Molybdenum,Mo,95.95,1.6532043483883647e-13,{'Mo': 1.0},0.0003,valero_fallback
"('ecoinvent-3.12-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')",Cobalt,"('natural resource', 'in ground')",kilogram,Cobalt,Co,58.93319,1.9447495148453946e-12,{'Co': 1.0},0.0011,valero_fallback
"('ecoinvent-3.12-biosphere', '483ae3c5-4eb0-46e4-b811-a72ad391716b')",Phosphorus,"('natural resource', 'in ground')",kilogram,Phosphorus,P,30.973762,1.6973366253890836e-14,{'P': 1.0},0.0169,valero_fallback
"('ecoinvent-3.12-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",Uranium,"('natural resource', 'in ground')",kilogram,Uranium,U,238.0289,9.154438878304105e-12,{'U': 1.0},0.00333,valero_fallback
"('ecoinvent-3.12-biosphere', 'a9ac40a0-9bea-4c48-afa7-66aa6eb90624')",Copper,"('natural resource', 'in ground')",kilogram,Copper,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},0.0058,valero_fallback
"('ecoinvent-3.12-biosphere', '974213ef-1ba0-40e5-bc7b-52ef099e9e09')",Nickel,"('natural resource', 'in ground')",kilogram,Nickel,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.015,valero_fallback
"('ecoinvent-3.12-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Aluminium,"('natural resource', 'in ground')",kilogram,Aluminium,Al,26.981538,6.422536676269254e-14,{'Al': 1.0},0.243,valero_fallback
"('ecoinvent-3.12-biosphere', 'c2586875-bb56-4b1e-84c5-5ff255a1108b')",Manganese,"('natural resource', 'in ground')",kilogram,Manganese,Mn,54.93804,6.485008032108113e-14,{'Mn': 1.0},0.316,valero_fallback
"('ecoinvent-3.12-biosphere', '47262180-8308-5d4c-9332-c77617e032ef')",Antimony,"('natural resource', 'in ground')",kilogram,Antimony,Sb,121.76,2.1834077210692158e-11,{'Sb': 1.0},0.0378,valero_fallback
"('ecoinvent-3.12-biosphere', '68a376fd-cb4a-4a2a-9651-c3b6e37f75e6')",Manganese II,"('natural resource', 'in water')",kilogram,Manganese,Mn,54.93804,6.485008032108113e-14,{'Mn': 1.0},0.316,valero_fallback
"('ecoinvent-3.12-biosphere', 'fbcb9c7a-eea7-4694-ba6c-568e01d28883')",Lead,"('natural resource', 'in ground')",kilogram,Lead,Pb,207.0,1.1855254708054448e-13,{'Pb': 1.0},0.0205,valero_fallback
"('ecoinvent-3.12-biosphere', 'e189e2d4-3d3f-4ada-b302-91611784311f')",Chromium,"('natural resource', 'in ground')",kilogram,Chromium,Cr,51.996,3.1278613038877847e-13,{'Cr': 1.0},0.296,valero_fallback
"('ecoinvent-3.12-biosphere', '53d5ef26-66d8-4536-afa2-2f6b114189ba')",Tin,"('natural resource', 'in ground')",kilogram,Tin,Sn,118.71,1.3268575464212294e-13,{'Sn': 1.0},0.0048,valero_fallback
"('ecoinvent-3.12-biosphere', 'be73218b-18af-492e-96e6-addd309d1e32')",Zinc,"('natural resource', 'in ground')",kilogram,Zinc,Zn,65.4,1.0836576745711442e-13,{'Zn': 1.0},0.0406,valero_fallback
"('ecoinvent-3.12-biosphere', '361a64cb-ab76-4a72-9ea1-c07d6a20c124')",Silver,"('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},3.72e-06,valero_fallback
