Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral
"Clay, unspecified, in ground","('ecoinvent-3.4-biosphere', 'f7519ca9-5ffc-41c3-a33e-806da82cfc0e')",Al,2.82310965919092e-06,2.82310965919092e-06,0.33300833076211045,2.1387582178228573e-14,2.1387582178228573e-14,Bauxite (Gibbsite),2.8930041152263373,8.167267861774555e-06,0.9633944712994388,6.187436325635673e-14,0.08399573257467995,0.08398756530681817
"Iron, 46% in ore, 25% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')",Fe,1.1243998723185775e-06,1.1243998723185775e-06,0.25,2.4113064559169056e-15,2.4113064559169056e-15,Hematite,1.0,1.1243998723185775e-06,0.25,2.4113064559169056e-15,0.73,0.7299988756001277
"Aluminium, in ground","('ecoinvent-3.4-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Al,6.527900126627539e-07,6.527900126627539e-07,0.703,4.5150432834172855e-14,4.5150432834172855e-14,Bauxite (Gibbsite),2.8930041152263373,1.888524193012e-06,2.033781893004115,1.3062038799351242e-13,0.08399573257467995,0.08399384405048693
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')",Cr,4.4964894523498964e-07,4.4964894523498964e-07,0.11599999999999999,3.62831911250983e-14,3.62831911250983e-14,Chromite,2.152027027027027,9.676566828198932e-07,0.24963513513513513,7.808240792799871e-14,0.13754474097331237,0.13754377331662956
"Clay, bentonite, in ground","('ecoinvent-3.4-biosphere', '93806a54-46f5-409c-99c5-4144a1e73b5d')",Al,2.2970138555313122e-07,2.2970138555313122e-07,0.33300833076211045,2.1387582178228573e-14,2.1387582178228573e-14,Bauxite (Gibbsite),2.8930041152263373,6.645270536784002e-07,0.9633944712994388,6.187436325635673e-14,0.08399573257467995,0.08399506804762627
"Uranium, in ground","('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",U,5.0372798734369074e-08,5.0372798734369074e-08,0.00318,2.9111115633007054e-14,2.9111115633007054e-14,Uraninite,0.954954954954955,4.810375374633443e-08,0.003036756756756757,2.7799804118006737e-14,0.0034870754716981134,0.003487027367944367
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '9f9f1f14-6eee-4067-b4a5-80e75fc7b295')",Mn,3.128903715370243e-08,3.128903715370243e-08,0.142,9.208711405593519e-15,9.208711405593519e-15,Pyrolusite,1.5822784810126582,4.950797017990891e-08,0.22468354430379744,1.4570745894926453e-14,0.199712,0.19971195049202983
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'e47e4e5f-6528-413d-a8fb-1cd1875fbd73')",Ni,7.328770746002227e-09,7.328770746002227e-09,0.0104,9.429411356021909e-16,9.429411356021909e-16,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,2.150410036573349e-08,0.030515710144927533,2.7667806132466603e-15,0.00509049773755656,0.0050904762334561945
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')",Zn,4.83160893920924e-09,4.83160893920924e-09,0.053,5.743385675227064e-15,5.743385675227064e-15,Sphalerite,1.4901477832512315,7.199811350299483e-09,0.07897783251231527,8.558493432296486e-15,0.02724561983471074,0.02724561263489939
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')",Pb,1.6610524067989324e-09,1.6610524067989324e-09,0.03,3.556576412416334e-15,3.556576412416334e-15,Galena,1.1560975609756097,1.9203386361529118e-09,0.03468292682926829,4.111749315817908e-15,0.017732067510548524,0.01773206559020989
